index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
88,5,26,319,12,5,0,0,9,1,0,0,49,10,0,0,0,29,0,0,2,1,8,95,0,5,0,30,0,13,0,0,25,12,13
89,5,27,273,16,17,0,0,3,0,0,0,28,23,0,0,0,17,0,0,11,7,1,84,0,5,14,19,0,25,0,0,2,1,0
90,5,28,270,12,3,12,0,0,0,13,0,40,3,0,38,0,24,0,0,0,5,2,53,0,2,30,25,0,4,0,0,0,2,2
91,6,1,309,36,5,0,0,6,0,0,0,19,7,0,0,0,39,0,0,9,13,4,88,0,9,27,27,0,7,0,0,1,11,1
92,6,2,268,7,3,0,0,4,15,35,0,32,3,0,0,0,19,0,0,3,1,6,72,0,7,2,24,0,2,0,0,5,2,26
93,6,3,302,3,5,0,0,3,0,6,0,29,3,0,0,0,90,0,0,4,14,9,85,0,12,0,18,0,13,0,0,5,3,0
94,6,4,551,33,12,0,0,0,0,0,0,84,10,0,0,0,56,0,0,3,30,6,131,0,9,85,70,6,3,0,0,3,7,3
95,6,6,352,57,0,0,0,1,0,0,0,50,7,0,0,0,14,0,0,0,17,3,121,0,18,51,5,0,1,0,0,4,0,3
96,6,7,309,9,5,0,0,1,0,0,0,30,12,0,0,0,58,0,0,10,6,4,83,0,6,1,58,0,2,0,0,8,1,15
97,6,8,319,37,10,0,0,3,7,0,0,14,17,0,0,0,49,0,0,2,10,8,85,0,11,14,39,0,9,0,0,1,3,0
98,6,9,367,28,2,0,0,2,0,0,0,50,3,0,0,0,26,0,0,5,6,1,115,0,3,38,70,0,2,0,0,8,1,7
99,6,10,247,24,6,0,0,2,0,4,0,30,15,0,0,0,47,0,0,1,11,4,67,0,8,4,12,0,5,0,0,1,6,0
100,6,11,266,14,0,0,0,1,0,14,0,26,3,0,0,0,37,0,0,0,4,1,70,0,18,37,12,0,7,0,0,18,4,0
101,6,12,264,22,3,0,0,1,0,9,0,36,21,0,0,0,38,0,0,1,6,0,68,0,2,33,14,0,4,0,0,4,2,0
102,6,13,334,16,6,0,0,2,3,19,0,37,11,0,0,0,39,0,0,3,13,3,95,0,13,12,16,0,27,0,0,8,5,6
103,6,14,131,1,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,44,0,0,41,5,0,0,0,0,1,0,18
104,6,15,264,10,2,0,0,1,0,34,0,9,6,18,0,0,26,8,0,0,1,2,82,0,5,31,25,0,1,0,0,0,1,2
105,6,16,294,24,1,0,0,0,0,0,0,38,23,5,0,0,33,33,0,11,5,4,68,0,6,15,5,0,4,0,0,19,0,0
106,6,17,625,25,19,0,13,1,0,0,0,47,35,0,0,0,134,0,0,3,29,6,117,0,3,55,126,0,6,0,0,2,3,1
107,6,19,278,24,3,0,0,0,13,0,0,29,20,3,0,0,40,53,0,3,3,4,52,0,4,21,1,0,1,0,0,3,1,0
108,6,20,281,15,6,0,0,0,9,0,0,43,7,7,0,0,51,0,0,8,8,3,86,0,1,0,3,0,18,0,0,3,11,2
